country-name,state-or-province,phys-area-name,principal-cave-name,other-cave-name,cave-id,latitude,longitude,altitude,length,vertical-extent,number-of-entrances,rock-type,cave-type,contents,comments,cave-system,branch-name,reference,cave-use,curation
United States of America,Hawaii,Maui,Ana Puka (South),,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=809,,
United States of America,Hawaii,Maui,Ana Puka (West),,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=810,,
Chile,Aconcagua,Isla de Pascua (Easter Island or Rapa Nui),Ana Roa,,,,,35,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=221,,
Chile,Aconcagua,Isla de Pascua (Easter Island or Rapa Nui),Ana Te Pahu,,,,,108,540,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=222,,
Chile,Aconcagua,Isla de Pascua (Easter Island or Rapa Nui),Ana Te Pora,,,,,35,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=218,,
United States of America,Hawaii,Maui,Ananaluawahine Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=828,,
Madagascar,Antsiranana,Ambre (Renard Crater),Andanakaomby,,,,,,400,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=241,,
Madagascar,Antsiranana,Ambre (Renard Crater),Andavakoera,,,,,,400,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=240,,
United States of America,California; Siskiyou County,,Angleworm cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=460,,
United States of America,California; Siskiyou County,,Animal Track Cave,,,,,,46,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=574,,
United States of America,California; Siskiyou County,,Ant Farm,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=526,,
United States of America,Hawaii,Hawaii (Big Island),Anthurium Sink Cave,,,,,,183,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=762,,
Japan,,,Aokigahara Fuketsu No. 1,,,,,,61,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=37,,
