country-name,state-or-province,phys-area-name,principal-cave-name,other-cave-name,cave-id,latitude,longitude,altitude,length,vertical-extent,number-of-entrances,map-link,rock-type,cave-type,contents,comments,cave-system,branch-name,reference,cave-use,curation
United States of America,Hawaii; Puna district,Hawaii Island; Kilauea,Fern's Cave,,,,,,1129,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=740,,
United States of America,Utah; Millard County,,Fillmore Ice Cave,,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1562,,
United States of America,California; San Bernardino,Pisgah,Finis,F; Double Loop Cave #1,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=326; Harter (2009) http://www.vulcanospeleology.org/articles/pisgah.pdf,,
United States of America,Oregon; Malheur County,Saddle Butte,Fire Pit Cave,,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1225,,
United States of America,Washington; Skamania County,,Firecracker Cave,,NSS-633-51,,,,96,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1643,,
United States of America,Washington; Skamania County,,Flashcube Cave,,NSS-633-17,,,,178,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1644,,
United States of America,California; Siskiyou County,Medicine Lake Highlands,Flat Arch Cave,,,,,,114,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=539,,
Australia,Queensland,Undara,Flat Ceiling,,ASF-U63,,,,80,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1380; Atkinson (2010) http://www.vulcanospeleology.org/sym14/papers/Atkinson.pdf,,
Iceland,,Eldhraun,Flóðhellir,Flood Cave,,,,,982,,,https://rpif.asu.edu/LTdatabase/images/Flodhellir_pic.jpg,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=182,,
United States of America,California; Siskiyou County,Medicine Lake Highlands; Mammoth Crater; Lava Beds National Monument,Fleener Chimneys,,,,,,66,,,https://rpif.asu.edu/LTdatabase/images/Fleener's_Chimney.jpg,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=651; http://www.vulcanospeleology.org/newsletters/Vulcano13-17.pdf; Waters et al. (1990) https://doi.org/10.3133/b1673; Larson (1992) http://www.vulcanospeleology.org/sym06/ISV6x18.pdf,,
Iceland,,Austur-Hunavatnssysla; Reykjanes peninsula,Flóki,,,,,,1096,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=13; Waters (2006) http://www.vulcanospeleology.org/sym12/ISV12p08.pdf,,
